"","0","1","p","test"
"n","6830296.73","1273777.47","",""
"AGE (median [IQR])","64.00 [54.00, 73.00]","55.00 [46.00, 63.00]","<0.001","nonnorm"
"SEX = 2 (%)","3603993.7 (52.8)","779793.6 (61.2)","<0.001",""
"BMI (median [IQR])","29.50 [25.80, 33.70]","31.10 [27.00, 35.90]","<0.001","nonnorm"
"REGION (%)","","","<0.001",""
"   1","1217348.2 (17.8)","153906.2 (12.1)","",""
"   2","1683754.7 (24.7)","299530.7 (23.5)","",""
"   3","2674051.8 (39.1)","588225.5 (46.2)","",""
"   4","1255142.0 (18.4)","232115.0 (18.2)","",""
"RaceR (%)","","","<0.001",""
"   1","4679895.6 (68.5)","762645.3 (59.9)","",""
"   2","1091728.3 (16.0)","274570.6 (21.6)","",""
"   3","748080.4 (11.0)","196393.1 (15.4)","",""
"   4","76679.3 (1.1)","15385.5 (1.2)","",""
"   5","217113.7 (3.2)","21015.1 (1.6)","",""
"   6","16799.5 (0.2)","3767.9 (0.3)","",""
"InsType (%)","","","<0.001",""
"   0","348657.8 (5.1)","321969.8 (25.3)","",""
"   1","1153293.4 (16.9)","243829.1 (19.2)","",""
"   2","3875337.7 (56.8)","466939.6 (36.7)","",""
"   3","327459.9 (4.8)","18252.2 (1.4)","",""
"   4","1087992.7 (16.0)","216756.3 (17.1)","",""
"   5","27846.1 (0.4)","2921.4 (0.2)","",""
"EduR (%)","","","<0.001",""
"   1","3805400.5 (56.2)","734748.8 (58.0)","",""
"   2","1745788.6 (25.8)","386110.5 (30.5)","",""
"   3","1224079.7 (18.1)","145874.7 (11.5)","",""
"IncomeR (%)","","","<0.001",""
"   0","2116360.3 (31.0)","574066.5 (45.1)","",""
"   1","1521348.7 (22.3)","323401.4 (25.4)","",""
"   2","1545055.5 (22.6)","243470.7 (19.1)","",""
"   3","954095.4 (14.0)","79488.3 (6.2)","",""
"   4","241101.2 (3.5)","24359.3 (1.9)","",""
"   5","452335.6 (6.6)","28991.3 (2.3)","",""
